Signal,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Word
46,61,358,798,1031,1423,1887,3120,4152,low
23,80,383,762,1052,1483,1988,3207,4486,low
27,98,359,765,1041,1375,1925,3212,4173,low
26,79,388,779,1047,1351,1887,3104,4479,low
45,58,390,770,1065,1368,1950,3256,4133,low
24,56,368,786,1020,1405,1989,3114,4267,low
24,51,374,776,1036,1323,1979,3196,4325,low
23,59,372,761,1034,1323,1926,3125,4347,low
24,67,377,776,1098,1374,1881,3274,4288,low
33,65,397,778,1066,1453,1872,3174,4293,low
19,90,382,780,1024,1366,1988,3256,4119,low
30,67,369,787,1021,1485,1958,3292,4274,low
31,66,359,798,1025,1363,1960,3117,4226,low
46,98,400,796,1085,1353,1807,3215,4289,low
37,94,396,754,1086,1454,1952,3223,4349,low
12,70,367,770,1037,1392,1920,3232,4439,low
30,99,354,764,1049,1482,1873,3299,4446,low
14,66,354,773,1011,1361,1918,3133,4323,low
28,65,354,792,1029,1458,1936,3153,4420,low
47,75,374,775,1056,1381,1915,3106,4278,low
43,95,374,799,1084,1439,1839,3284,4402,low
44,71,368,793,1009,1444,1951,3227,4319,low
46,180,550,822,1110,1481,1962,3465,4555,mid
40,113,467,797,1118,1537,2302,3331,4421,mid
21,145,466,887,1108,1511,2285,3242,4607,mid
10,138,414,797,1101,1523,1973,3255,4409,mid
28,199,441,811,1115,1503,1997,3277,4400,mid
37,200,441,850,1083,1511,1985,3669,4508,mid
38,165,479,790,1110,1500,1979,3392,4565,mid
22,198,513,829,1092,1579,2192,3653,4697,mid
40,113,407,833,1086,1461,2252,3414,4665,mid
31,90,527,897,1130,1496,2223,3456,4528,mid
28,170,395,793,1111,1455,2120,3380,4692,mid
43,82,473,826,1091,1524,2184,3778,4696,mid
17,154,405,810,1127,1571,2393,3670,4689,mid
15,144,462,794,1085,1479,1947,3590,4506,mid
13,140,390,874,1088,1462,2192,3471,4667,mid
38,184,347,802,1092,1531,2076,3366,4427,mid
35,138,532,860,1083,1582,2390,3202,4446,mid
34,128,532,843,1118,1585,2138,3200,4561,mid
30,110,515,854,1126,1550,2374,3750,4691,mid
17,152,443,797,1097,1555,2057,3555,4680,mid
38,157,530,844,1116,1502,1925,3369,4600,mid
42,133,413,802,1098,1506,2202,3310,4477,mid
22,163,483,896,1128,1495,2070,3558,4576,mid
14,188,546,875,1127,1520,2334,3455,4473,mid
45,169,403,806,1085,1462,1977,3307,4564,mid
26,156,337,806,1102,1464,2284,3630,4516,mid
23,138,386,867,1114,1542,1947,3584,4446,mid
21,155,377,793,1116,1598,2332,3293,4472,mid
43,124,333,781,1107,1480,2263,3653,4425,mid
41,106,420,844,1088,1533,2263,3392,4404,mid
37,221,608,889,1151,1668,2662,3797,4772,high
32,274,499,894,1126,1575,2481,3953,4923,high
35,269,577,887,1101,1651,2303,3847,4922,high
20,246,575,912,1114,1550,2761,3812,4704,high
32,269,595,908,1101,1627,2836,3513,4642,high
29,253,530,923,1102,1585,2640,3564,4880,high
13,193,552,909,1163,1558,2222,3609,4725,high
32,217,526,857,1125,1592,2463,3863,4805,high
29,181,508,886,1119,1647,2307,3653,4807,high
7,221,611,908,1175,1576,2588,3726,4658,high
11,267,606,911,1104,1555,2333,3844,4745,high
11,250,653,880,1133,1595,2914,3790,4606,high
45,183,615,867,1172,1624,2611,3817,4930,high
46,274,561,858,1167,1581,2827,3786,4787,high
32,200,672,851,1119,1675,2576,3586,4775,high
16,237,628,870,1111,1575,2403,3845,4892,high
12,254,546,890,1134,1630,2798,3956,4825,high
38,268,612,922,1127,1606,2577,3600,4776,high
28,240,503,856,1149,1604,2565,3567,4830,high
8,271,534,918,1175,1637,2524,3760,4614,high
18,237,491,895,1170,1565,2677,3664,4913,high
33,207,655,894,1137,1610,2548,3578,4942,high
10,199,550,861,1133,1590,2737,3799,4859,high
17,250,493,888,1139,1579,2941,3756,4732,high
42,223,507,857,1157,1561,2416,3644,4621,high
16,213,502,853,1109,1640,2631,3508,4866,high
22,247,506,861,1173,1579,2567,3784,4733,high
17,253,635,857,1102,1663,2508,3901,4799,high
13,193,482,864,1120,1629,2820,3851,4879,high
41,261,533,866,1130,1577,2852,3527,4634,high
46,61,385,793,1087,1488,1996,3272,4414,low
19,84,358,794,1044,1438,1910,3278,4100,low
21,67,388,787,1097,1312,1880,3211,4279,low
46,64,373,776,1069,1409,1955,3121,4335,low
8,97,396,791,1099,1398,1838,3157,4300,low
13,83,387,793,1018,1452,1946,3274,4472,low
43,66,371,793,1019,1365,1800,3276,4169,low
23,50,370,760,1025,1485,1847,3129,4442,low
11,72,372,797,1097,1392,1893,3145,4244,low
29,98,377,774,1042,1461,1844,3134,4359,low
34,56,356,786,1057,1440,1941,3236,4236,low
18,94,357,772,1079,1423,1986,3150,4207,low
35,86,371,787,1044,1345,1970,3186,4237,low
45,82,372,778,1061,1454,1941,3173,4342,low
24,77,362,777,1036,1315,1880,3249,4306,low
17,95,357,765,1064,1439,1985,3238,4400,low
23,73,396,781,1031,1436,1908,3250,4493,low
12,77,378,779,1075,1430,1809,3174,4119,low
37,65,388,769,1084,1474,1849,3211,4177,low
39,70,397,799,1094,1325,1969,3264,4237,low
23,66,357,757,1045,1320,1876,3220,4185,low
42,78,383,796,1000,1484,1938,3107,4115,low
23,51,399,800,1003,1346,1958,3207,4139,low
29,81,359,766,1081,1368,1859,3167,4347,low
46,72,374,763,1070,1456,1976,3206,4462,low
32,87,354,792,1012,1363,1832,3129,4419,low
41,69,371,785,1098,1315,1979,3273,4396,low
22,76,397,779,1023,1389,1836,3222,4161,low
40,73,358,780,1060,1327,1871,3135,4328,low
15,85,374,752,1036,1402,1959,3110,4101,low
36,137,520,797,1126,1540,2291,3485,4429,mid
37,193,387,781,1093,1538,2087,3356,4522,mid
34,199,368,841,1110,1540,2112,3755,4659,mid
26,118,547,812,1116,1561,2309,3653,4461,mid
35,182,457,809,1083,1576,2259,3252,4486,mid
11,156,463,865,1106,1477,2294,3747,4517,mid
28,112,352,850,1081,1480,2397,3788,4573,mid
9,144,516,868,1092,1491,2276,3678,4494,mid
19,168,478,892,1105,1561,2085,3526,4610,mid
10,132,422,793,1108,1580,1959,3507,4470,mid
47,153,470,861,1100,1491,2133,3800,4408,mid
33,144,422,873,1087,1504,2185,3632,4642,mid
21,143,546,855,1128,1506,2374,3604,4445,mid
26,80,381,890,1116,1576,2196,3201,4471,mid
35,115,517,875,1083,1518,2239,3495,4544,mid
20,85,399,817,1127,1530,2178,3212,4424,mid
35,125,501,819,1095,1480,2249,3456,4565,mid
39,118,397,844,1111,1456,2046,3604,4649,mid
8,185,481,816,1102,1451,2197,3742,4609,mid
11,90,518,864,1121,1515,2249,3323,4455,mid
42,185,336,819,1082,1591,2344,3579,4468,mid
18,148,340,823,1094,1588,2066,3484,4456,mid
37,86,549,846,1127,1473,2342,3434,4533,mid
46,160,449,819,1125,1552,2014,3322,4678,mid
17,195,497,783,1108,1599,1976,3788,4447,mid
27,189,396,849,1083,1555,2041,3661,4662,mid
8,192,347,871,1105,1471,1984,3339,4429,mid
17,160,500,849,1091,1457,2031,3649,4630,mid
41,128,460,834,1121,1546,2023,3744,4698,mid
36,181,393,842,1080,1559,2303,3373,4489,mid
42,209,668,907,1170,1572,2224,3752,4661,high
11,225,520,854,1130,1559,2899,3873,4609,high
16,229,534,867,1112,1576,2472,3736,4915,high
14,183,491,854,1108,1652,2303,3672,4875,high
43,270,595,921,1110,1654,2835,3636,4663,high
7,265,526,875,1157,1651,2549,3682,4839,high
28,267,573,896,1163,1662,2863,3904,4859,high
9,246,652,868,1108,1551,2238,3946,4910,high
47,265,499,859,1144,1657,2878,3759,4866,high
14,207,584,871,1143,1553,2816,3654,4847,high
9,256,616,865,1141,1627,2466,3611,4657,high
44,237,626,878,1150,1605,2238,3821,4616,high
42,225,645,852,1116,1588,2204,3624,4799,high
15,200,656,881,1164,1625,2892,3773,4892,high
46,194,672,905,1102,1551,2830,3885,4759,high
30,252,581,924,1134,1653,2557,3649,4941,high
46,180,507,909,1160,1656,2614,3915,4669,high
14,188,489,864,1107,1571,2334,3709,4879,high
28,182,556,899,1134,1661,2647,3695,4706,high
35,256,619,912,1134,1618,2438,3794,4897,high
36,230,564,877,1149,1628,2734,3954,4619,high
26,223,634,862,1111,1617,2615,3562,4799,high
20,185,616,920,1113,1601,2799,3796,4603,high
18,188,617,919,1162,1611,2775,3824,4607,high
46,232,514,890,1175,1569,2482,3651,4819,high
14,198,560,871,1159,1578,2932,3886,4905,high
12,209,643,857,1112,1620,2561,3867,4750,high
26,245,580,873,1166,1564,2832,3839,4867,high
24,205,628,882,1120,1664,2640,3639,4670,high
33,214,503,897,1115,1584,2882,3767,4848,high
18,51,359,799,1088,1335,1916,3279,4439,low
45,97,355,756,1076,1439,1956,3227,4292,low
13,78,350,776,1039,1393,1989,3193,4353,low
12,89,377,766,1026,1484,1934,3182,4247,low
43,97,386,750,1057,1451,1824,3118,4476,low
25,65,395,766,1046,1397,1827,3176,4187,low
37,59,390,798,1087,1448,1887,3201,4398,low
13,64,364,761,1004,1411,1804,3282,4296,low
17,53,384,799,1070,1397,1881,3245,4146,low
36,94,388,787,1095,1336,1830,3249,4116,low
14,95,388,776,1053,1343,1866,3140,4243,low
43,100,360,797,1015,1372,1935,3282,4359,low
42,58,385,790,1073,1327,1952,3139,4192,low
20,77,384,800,1044,1309,1863,3263,4334,low
17,57,391,785,1036,1423,1880,3222,4461,low
39,74,396,777,1009,1326,1973,3216,4206,low
46,99,393,798,1087,1377,1998,3189,4411,low
42,61,374,798,1021,1385,1927,3201,4279,low
39,80,361,758,1067,1310,1926,3293,4391,low
15,75,393,770,1053,1405,1861,3160,4319,low
32,73,385,756,1002,1463,1957,3101,4245,low
35,80,350,772,1069,1338,1874,3101,4273,low
47,65,382,789,1092,1347,1965,3123,4435,low
14,76,363,752,1074,1456,1842,3165,4476,low
44,89,364,800,1009,1367,1991,3117,4280,low
28,67,383,766,1088,1422,1941,3270,4131,low
38,96,350,795,1039,1438,1839,3212,4300,low
40,68,397,767,1053,1408,1997,3187,4332,low
23,71,390,764,1074,1340,1947,3259,4112,low
39,96,376,771,1068,1439,1887,3211,4399,low
27,112,336,781,1090,1480,2094,3454,4466,mid
13,143,461,885,1128,1453,2089,3268,4569,mid
40,189,400,869,1084,1453,2035,3675,4421,mid
25,99,398,859,1090,1568,2019,3425,4697,mid
34,180,550,862,1130,1474,2364,3488,4579,mid
8,105,473,786,1123,1554,1951,3295,4654,mid
15,162,358,866,1094,1547,2228,3737,4551,mid
40,95,538,858,1109,1489,2014,3487,4631,mid
26,120,425,866,1119,1505,2315,3642,4499,mid
7,159,455,820,1109,1550,2153,3439,4649,mid
16,168,400,889,1124,1571,1932,3455,4423,mid
37,191,476,875,1123,1596,2313,3546,4562,mid
39,156,369,787,1094,1584,2187,3538,4669,mid
36,175,460,882,1098,1452,2099,3514,4444,mid
16,129,332,821,1108,1544,2160,3716,4588,mid
36,199,379,888,1080,1543,2389,3523,4629,mid
30,95,340,853,1082,1504,1928,3521,4676,mid
41,83,453,780,1080,1550,2173,3321,4541,mid
24,94,430,887,1114,1500,2173,3558,4424,mid
37,194,358,799,1097,1600,2343,3768,4569,mid
26,94,403,793,1108,1591,2376,3312,4643,mid
14,153,501,850,1088,1600,2016,3800,4428,mid
24,129,387,796,1112,1555,2336,3506,4522,mid
15,109,478,841,1103,1507,1945,3392,4445,mid
35,135,538,853,1082,1532,1985,3689,4610,mid
19,123,530,814,1100,1547,2316,3356,4504,mid
35,139,373,874,1093,1554,2131,3269,4658,mid
13,139,418,891,1082,1541,2137,3716,4651,mid
45,94,436,879,1084,1450,2094,3570,4591,mid
19,108,368,839,1084,1462,2395,3663,4533,mid
39,254,535,910,1142,1561,2805,3662,4622,high
27,205,607,887,1141,1605,2512,3746,4727,high
11,230,489,897,1150,1669,2378,3614,4699,high
40,262,639,900,1109,1594,2880,3950,4969,high
14,233,675,875,1138,1596,2425,3936,4952,high
23,188,645,874,1152,1626,2280,3597,4814,high
41,265,489,859,1169,1615,2872,3940,4807,high
38,248,675,907,1174,1565,2934,3522,4786,high
16,260,507,920,1134,1643,2761,3627,4608,high
7,198,493,919,1132,1550,2917,3516,4756,high
20,212,606,851,1131,1665,2526,3751,4838,high
21,227,523,861,1102,1621,2897,3643,4820,high
29,267,636,855,1121,1569,2582,3530,4846,high
37,258,608,916,1170,1646,2320,3954,4972,high
44,214,653,856,1128,1550,2923,3823,4712,high
28,213,606,862,1161,1557,2587,3819,4770,high
33,188,567,854,1125,1624,2558,3728,4949,high
9,224,628,912,1174,1565,2572,3504,4866,high
44,219,486,914,1109,1654,2326,3950,4643,high
20,248,597,906,1160,1553,2818,3649,4696,high
36,197,638,893,1140,1674,2286,3807,4686,high
18,231,620,883,1125,1663,2970,3946,4742,high
34,262,646,863,1122,1592,2229,3762,4889,high
43,255,633,911,1164,1606,2713,3958,4697,high
19,224,510,888,1122,1585,2597,3756,4922,high
26,241,594,898,1130,1670,2703,3760,4603,high
29,218,580,857,1161,1562,2417,3666,4968,high
23,202,659,895,1132,1643,2395,3809,4643,high
14,262,667,868,1168,1627,2602,3671,4949,high
24,190,627,872,1100,1585,2669,3631,4858,high
10,90,383,776,1094,1307,1931,3213,4108,low
15,86,361,768,1020,1332,1860,3183,4368,low
34,68,399,786,1080,1358,1833,3299,4487,low
19,96,398,793,1087,1406,1821,3131,4137,low
41,55,375,778,1087,1405,1992,3209,4474,low
36,93,356,781,1067,1406,1963,3157,4342,low
21,68,385,766,1065,1340,1800,3145,4466,low
24,56,373,768,1028,1367,1868,3230,4318,low
15,97,359,769,1056,1372,1888,3269,4120,low
39,83,363,786,1050,1310,1829,3148,4141,low
16,68,389,789,1096,1319,1889,3162,4212,low
8,65,368,793,1015,1388,1927,3247,4446,low
16,92,380,766,1033,1386,1876,3140,4322,low
23,59,369,783,1060,1443,1969,3112,4342,low
47,77,366,754,1033,1478,1823,3251,4182,low
10,52,389,789,1016,1340,1823,3155,4208,low
27,84,370,789,1061,1459,1950,3214,4325,low
19,70,375,800,1081,1303,1934,3268,4265,low
40,95,373,793,1022,1455,1923,3222,4130,low
9,84,369,783,1080,1327,1882,3194,4197,low
29,67,358,768,1013,1352,1848,3224,4122,low
34,98,388,786,1009,1433,1901,3161,4176,low
34,79,384,800,1077,1357,1984,3287,4189,low
28,64,383,750,1050,1476,1803,3239,4231,low
7,79,353,765,1079,1319,1878,3157,4307,low
12,99,354,789,1044,1320,1825,3118,4368,low
25,59,357,764,1063,1349,1945,3162,4346,low
25,91,350,774,1006,1473,1983,3269,4401,low
11,87,385,750,1026,1327,1937,3185,4154,low
12,98,365,751,1059,1373,1901,3282,4255,low
23,172,419,835,1117,1485,2329,3487,4557,mid
28,170,485,882,1103,1508,2003,3342,4584,mid
25,128,332,895,1127,1534,2038,3573,4512,mid
37,135,497,793,1083,1513,1985,3335,4442,mid
19,85,467,802,1124,1585,2267,3428,4496,mid
38,83,490,813,1122,1517,2366,3246,4590,mid
12,165,539,895,1102,1483,2248,3753,4544,mid
29,156,509,781,1081,1475,2180,3373,4667,mid
13,86,497,782,1119,1528,2390,3232,4447,mid
47,121,425,836,1114,1570,2123,3712,4519,mid
30,93,459,827,1128,1574,2281,3567,4603,mid
34,192,435,886,1084,1592,2026,3611,4641,mid
31,90,366,785,1122,1459,2354,3628,4553,mid
13,168,499,789,1099,1471,2209,3550,4505,mid
47,136,487,805,1102,1522,1961,3477,4609,mid
25,138,360,833,1100,1470,1981,3388,4429,mid
40,194,483,854,1088,1538,2146,3747,4461,mid
15,95,406,856,1087,1589,1974,3357,4607,mid
27,130,339,884,1101,1526,2049,3604,4424,mid
25,184,458,877,1126,1548,2018,3464,4650,mid
25,153,388,780,1099,1590,2333,3561,4441,mid
12,144,492,828,1113,1555,2218,3358,4597,mid
44,152,526,849,1104,1477,2120,3325,4587,mid
17,93,455,871,1085,1563,2171,3633,4401,mid
35,190,506,895,1085,1498,2327,3239,4573,mid
33,199,549,802,1095,1478,2062,3598,4591,mid
12,143,540,848,1122,1523,2375,3486,4487,mid
38,119,446,846,1096,1496,2005,3203,4456,mid
27,175,550,842,1090,1585,2298,3535,4469,mid
28,96,353,877,1103,1526,2299,3252,4506,mid
34,189,548,880,1129,1559,2807,3578,4863,high
15,181,564,852,1175,1639,2620,3866,4636,high
11,195,621,916,1140,1569,2658,3975,4727,high
36,215,639,917,1159,1590,2230,3513,4862,high
40,235,660,907,1144,1595,2314,3627,4788,high
22,224,660,878,1175,1644,2321,3647,4623,high
37,269,600,914,1144,1657,2529,3665,4715,high
44,275,491,884,1149,1619,2301,3507,4626,high
18,206,673,858,1112,1561,2536,3599,4935,high
13,192,570,893,1147,1629,2529,3692,4732,high
46,219,617,888,1158,1579,2755,3764,4692,high
22,257,530,862,1145,1578,2236,3814,4965,high
15,220,526,895,1115,1559,2570,3648,4624,high
27,206,625,850,1126,1558,2597,3815,4790,high
43,249,630,886,1122,1610,2248,3972,4772,high
17,273,559,898,1147,1639,2279,3770,4742,high
34,215,586,854,1107,1580,2795,3692,4907,high
33,241,553,900,1102,1575,2961,3946,4811,high
46,218,541,924,1128,1569,2759,3599,4783,high
36,214,498,851,1130,1570,2438,3872,4908,high
25,270,577,874,1128,1602,2819,3836,4875,high
19,248,494,855,1137,1653,2316,3835,4969,high
38,200,545,892,1104,1673,2935,3857,4858,high
26,258,646,901,1161,1614,2731,3636,4966,high
28,254,620,909,1167,1580,2865,3525,4894,high
13,214,659,851,1134,1571,2300,3772,4967,high
21,225,506,889,1123,1608,2637,3809,4858,high
40,201,583,905,1121,1575,2887,3681,4945,high
32,271,629,885,1143,1667,2830,3931,4857,high
11,241,526,868,1148,1665,2222,3546,4929,high
